year,county,species,weight,value
2006,Cumberland,Cod Atlantic,1205523,2062011
2006,Cumberland,Crab Atlantic Rock,24586,9410
2006,Cumberland,Crab Jonah,4473,2091
2006,Cumberland,Cusk,46317,38794
2006,Cumberland,Eel American,124,8595
2006,Cumberland,Flounder Atlantic Witch (Gray Sole),921410,1767704
2006,Cumberland,Flounder Winter,72189,127980
2006,Cumberland,Haddock,1020195,1599995
2006,Cumberland,Hake White,1587602,1752227
2006,Cumberland,Halibut Atlantic,6472,24244
2006,Cumberland,Herring Atlantic,40928186,4344623
2006,Cumberland,Lobster American,9444550,38237173
2006,Cumberland,Monkfish,3536206,3115773
2006,Cumberland,Other Species,442657,188573
2006,Cumberland,Plaice American (Dab),758934,1340311
2006,Cumberland,Pollock,3439700,2153945
2006,Cumberland,Redfish Acadian Ocean Perch,325907,237623
2006,Cumberland,Scallop Sea,7355,73987
2006,Cumberland,Shrimp Northern,2540084,867332
2006,Cumberland,Wolffish Atlantic,31540,26643
2006,Hancock,Bloodworms,46684,507062
2006,Hancock,Clam Soft,1110139,1598022
2006,Hancock,Crab Atlantic Rock,955579,333347
2006,Hancock,Crab Jonah,1272069,517132
2006,Hancock,Eel American,1784,104402
2006,Hancock,Halibut Atlantic,7741,39318
2006,Hancock,Herring Atlantic,16725452,1873883
2006,Hancock,Lobster American,21089086,85288099
2006,Hancock,Mussel Blue Sea,10011631,1425723
2006,Hancock,Other Species,6430400,426464
2006,Hancock,Sandworms,67967,330180
2006,Hancock,Scallop Sea,4105,42610
2006,Hancock,Sea Urchins Green,455624,601416
2006,Knox,Crab Atlantic Rock,362987,140954
2006,Knox,Crab Jonah,630618,206950
2006,Knox,Eel American,627,35292
2006,Knox,Herring Atlantic,38998840,4373103
2006,Knox,Lobster American,22123241,90162700
2006,Knox,Other Species,1625431,568377
2006,Knox,Scallop Sea,5597,44081
2006,Lincoln,Clam Soft,1304521,1823690
2006,Lincoln,Eel American,4613,67993
2006,Lincoln,Lobster American,6361330,24580617
2006,Lincoln,Other Species,889015,836692
2006,Lincoln,Oyster Eastern / American,502109,1052085
2006,Lincoln,Scallop Sea,6640,58426
2006,Lincoln,Shrimp Northern,1091452,402532
2006,Other Maine,Eel American,7501,177774
2006,Other Maine,Lobster American,244886,954973
2006,Other Maine,Other Species,16532764,30049952
2006,Sagadahoc,Clam Soft,532520,844551
2006,Sagadahoc,Lobster American,1850308,7951396
2006,Sagadahoc,Other Species,463149,1934014
2006,Sagadahoc,Shrimp Northern,226844,88302
2006,Waldo,Eel American,208,13509
2006,Waldo,Lobster American,372901,1620134
2006,Waldo,Other Species,328701,89391
2006,Washington,Bloodworms,113967,1265190
2006,Washington,Clam Soft,2662480,3655487
2006,Washington,Crab Atlantic Rock,61710,28585
2006,Washington,Crab Jonah,295475,106389
2006,Washington,Halibut Atlantic,8948,40281
2006,Washington,Herring Atlantic,616876,66142
2006,Washington,Lobster American,10686067,43180287
2006,Washington,Mussel Blue Sea,7345971,987088
2006,Washington,Other Species,158755,98014
2006,Washington,Periwinkles Atlantic (Cockles),310536,243234
2006,Washington,Sandworms,138248,665948
2006,Washington,Scallop Sea,130163,1024816
2006,Washington,Sea Urchins Green,2339866,3267412
2006,York,Cod Atlantic,175164,251451
2006,York,Cusk,2250,2023
2006,York,Flounder Atlantic Witch (Gray Sole),3119,5118
2006,York,Haddock,2901,5086
2006,York,Hake White,32603,28567
2006,York,Lobster American,3173459,13464040
2006,York,Monkfish,29118,30744
2006,York,Other Species,187901,84665
2006,York,Plaice American (Dab),1193,2028
2006,York,Pollock,158117,94841
2006,York,Redfish Acadian Ocean Perch,3645,2666
2006,York,Shrimp Northern,345645,147612
2006,York,Wolffish Atlantic,504,223
2007,Cumberland,Clam Northern Quahog / Hard,10227,14670
2007,Cumberland,Clam Soft,2326353,3326758
2007,Cumberland,Cod Atlantic,1191228,1964567
2007,Cumberland,Crab Atlantic Rock,29449,11979
2007,Cumberland,Crab Jonah,1769,888
2007,Cumberland,Crab Unc,34936,15734
2007,Cumberland,Cusk,127441,74502
2007,Cumberland,Flounder Atlantic Witch (Gray Sole),560507,1304379
2007,Cumberland,Flounder Yellowtail,23052,35385
2007,Cumberland,Haddock,958293,1490645
2007,Cumberland,Hake Silver (Whiting),355,65
2007,Cumberland,Hake White,1243719,1301219
2007,Cumberland,Herring Atlantic,19483579,2179057
2007,Cumberland,Herrings Unc,459139,55139
2007,Cumberland,Lobster American,8367473,36552598
2007,Cumberland,Mackerel Atlantic,253382,67927
2007,Cumberland,Monkfish,2298382,2327989
2007,Cumberland,Mussel Blue Sea,84722,35856
2007,Cumberland,Other Species,316960,555814
2007,Cumberland,Plaice American (Dab),561085,951546
2007,Cumberland,Pollock,4020412,2039793
2007,Cumberland,Redfish Acadian Ocean Perch,297593,198086
2007,Cumberland,Scallop Sea,5469,50273
2007,Cumberland,Shrimp Northern,3001884,1092582
2007,Cumberland,Wolffish Atlantic,22561,20154
2007,Hancock,Bloodworms,53572,572389
2007,Hancock,Clam Northern Quahog / Hard,9448,5883
2007,Hancock,Clam Soft,1534077,2080496
2007,Hancock,Crab Atlantic Rock,1132072,385958
2007,Hancock,Crab Jonah,1093159,444096
2007,Hancock,Eel American,1423,514982
2007,Hancock,Halibut Atlantic,8616,50272
2007,Hancock,Herring Atlantic,13057810,1372754
2007,Hancock,Lobster American,17630570,78297296
2007,Hancock,Mussel Blue Sea,9125908,1315898
2007,Hancock,Other Species,4150694,613227
2007,Hancock,Oyster Eastern / American,23730,50236
2007,Hancock,Sandworms,55765,297410
2007,Hancock,Scallop Sea,11434,131064
2007,Hancock,Sea Urchins Green,487218,740606
2007,Hancock,Shrimp Northern,29234,13102
2007,Knox,Clam Soft,944799,1288787
2007,Knox,Crab Atlantic Rock,255151,97039
2007,Knox,Crab Jonah,611402,196744
2007,Knox,Crab Unc,56381,18806
2007,Knox,Eel American,543,174426
2007,Knox,Flounder Atlantic Witch (Gray Sole),40269,76560
2007,Knox,Halibut Atlantic,442,2497
2007,Knox,Herring Atlantic,39108390,4761298
2007,Knox,Lobster American,19201116,83313212
