"","year","delta","delta_star","delta_plus","delta_var"
"1",1950,4.30882352941176,4.30882352941176,4.30882352941176,1.87521626297578
"2",1951,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"3",1952,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"4",1953,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"5",1954,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"6",1955,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"7",1956,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"8",1957,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"9",1958,4.33823529411765,4.33823529411765,4.33823529411765,1.7973615916955
"10",1959,4.33823529411765,4.33823529411765,4.33823529411765,1.7973615916955
"11",1960,4.31372549019608,4.31372549019608,4.31372549019608,1.73164167627835
"12",1961,4.33823529411765,4.33823529411765,4.33823529411765,1.7973615916955
"13",1962,4.50326797385621,4.50326797385621,4.50326797385621,1.87090435302661
"14",1963,4.56617647058824,4.56617647058824,4.56617647058824,1.83385596885813
"15",1964,4.68478260869565,4.68478260869565,4.68478260869565,1.58542060491493
"16",1965,4.68478260869565,4.68478260869565,4.68478260869565,1.58542060491493
"17",1966,4.68478260869565,4.68478260869565,4.68478260869565,1.58542060491493
"18",1967,4.58102766798419,4.58102766798419,4.58102766798419,1.57149775812776
"19",1968,4.68478260869565,4.68478260869565,4.68478260869565,1.58542060491493
"20",1969,4.68478260869565,4.68478260869565,4.68478260869565,1.58542060491493
"21",1970,4.68478260869565,4.68478260869565,4.68478260869565,1.58542060491493
"22",1971,4.699604743083,4.699604743083,4.699604743083,1.6567982627443
"23",1972,4.68478260869565,4.68478260869565,4.68478260869565,1.58542060491493
"24",1973,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"25",1974,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"26",1975,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"27",1976,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"28",1977,4.67028985507246,4.67028985507246,4.67028985507246,1.63404484352027
"29",1978,4.67028985507246,4.67028985507246,4.67028985507246,1.63404484352027
"30",1979,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"31",1980,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"32",1981,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"33",1982,4.42857142857143,4.42857142857143,4.42857142857143,1.56091527520099
"34",1983,4.42857142857143,4.42857142857143,4.42857142857143,1.56091527520099
"35",1984,4.68379446640316,4.68379446640316,4.68379446640316,1.71029074036464
"36",1985,4.42292490118577,4.42292490118577,4.42292490118577,1.47726101017044
"37",1986,4.54940711462451,4.54940711462451,4.54940711462451,1.60724273149088
"38",1987,4.75333333333333,4.75333333333333,4.75333333333333,1.63248888888889
"39",1988,4.76811594202899,4.76811594202899,4.76811594202899,1.69985297206469
"40",1989,4.67028985507246,4.67028985507246,4.67028985507246,1.63404484352027
"41",1990,4.82905982905983,4.82905982905983,4.82905982905983,1.56052304770253
"42",1991,4.82905982905983,4.82905982905983,4.82905982905983,1.56052304770253
"43",1992,4.65666666666667,4.65666666666667,4.65666666666667,1.56545555555556
"44",1993,4.73846153846154,4.73846153846154,4.73846153846154,1.57159763313609
"45",1994,4.84045584045584,4.84045584045584,4.84045584045584,1.51870520531489
"46",1995,4.76923076923077,4.76923076923077,4.76923076923077,1.52520710059172
"47",1996,4.84045584045584,4.84045584045584,4.84045584045584,1.51870520531489
"48",1997,4.84045584045584,4.84045584045584,4.84045584045584,1.51870520531489
"49",1998,4.84045584045584,4.84045584045584,4.84045584045584,1.51870520531489
"50",1999,4.86153846153846,4.86153846153846,4.86153846153846,1.5592899408284
"51",2000,4.86153846153846,4.86153846153846,4.86153846153846,1.5592899408284
"52",2001,4.90666666666667,4.90666666666667,4.90666666666667,1.51128888888889
"53",2002,4.88307692307692,4.88307692307692,4.88307692307692,1.47555976331361
"54",2003,4.90666666666667,4.90666666666667,4.90666666666667,1.51128888888889
"55",2004,4.88307692307692,4.88307692307692,4.88307692307692,1.47555976331361
"56",2005,4.84045584045584,4.84045584045584,4.84045584045584,1.51870520531489
"57",2006,4.88307692307692,4.88307692307692,4.88307692307692,1.47555976331361
"58",2007,4.88307692307692,4.88307692307692,4.88307692307692,1.47555976331361
"59",2008,4.92666666666667,4.92666666666667,4.92666666666667,1.44795555555556
"60",2009,4.76307692307692,4.76307692307692,4.76307692307692,1.48540591715976
"61",2010,4.96190476190476,4.96190476190476,4.96190476190476,1.40807256235828
"62",2011,4.92380952380952,4.92380952380952,4.92380952380952,1.55609977324263
"63",2012,4.94285714285714,4.94285714285714,4.94285714285714,1.46340136054422
"64",2013,4.97233201581028,4.97233201581028,4.97233201581028,1.52097361308566
"65",2014,4.95238095238095,4.95238095238095,4.95238095238095,1.4453514739229
"66",2015,4.78095238095238,4.78095238095238,4.78095238095238,1.57106575963719
"67",2016,4.78095238095238,4.78095238095238,4.78095238095238,1.57106575963719
"68",2017,4.78571428571429,4.78571428571429,4.78571428571429,1.57789115646258
"69",2018,4.93464052287582,4.93464052287582,4.93464052287582,1.48592421718143
"70",2019,4.84736842105263,4.84736842105263,4.84736842105263,1.49775623268698
