year,county,total_weight,total_value,total_trips,total_harvs
2008,Cumberland,43060400.56,44477741.89,65051,1777
2008,Hancock,32255739.08,61171279.01,82777,3500
2008,Knox,57111419.69,73403561.59,78927,2013
2008,Lincoln,9723599.5,22873658.83,59730,1743
2008,Not-Specified,59148601.53,98909552.32,81522,3943
2008,Penobscot,64.67,14122.93,25,14
2008,Sagadahoc,1907357.73,5643735.035,18917,584
2008,UK,1410.59,2245.42,8,6
2008,Waldo,28676.36,256597.55,662,119
2008,Washington,25627539.98,47270478.1,86096,3577
2008,York,2791007.67,10862676.05,12189,251
2009,Cumberland,43547619.72,35882917.53,58399,1533
2009,Hancock,35582256.7,64319520.5,87312,3611
2009,Knox,47046107.11,67588469.76,76944,1907
2009,Lincoln,8749656,21735244.22,64532,2032
2009,Not-Specified,58674032.76,75638044.87,80722,4205
2009,Penobscot,184.09,22045.3,64,39
2009,Sagadahoc,1797862.11,4320951.299,9907,470
2009,UK,40082,54978.755,333,71
2009,Waldo,844167.18,802112.038,1009,157
2009,Washington,28234884.87,47013692.33,87975,3679
2009,York,3203738.35,10453684.34,12980,294
2010,Cumberland,44260999.99,41018432.64,53962,1378
2010,Hancock,34077539.88,96675550.05,99191,3671
2010,Knox,47815302.82,87397138.32,77427,2002
2010,Lincoln,12559048.09,26777879.33,63631,1902
2010,Not-Specified,74731995.24,123958430.3,74782,3890
2010,Sagadahoc,2790108.23,6419126.16,21502,788
2010,UK,8463.63,10251.1,87,29
2010,Waldo,324312.97,1073619.219,1284,135
2010,Washington,33242242.96,62384908.37,94997,3622
2010,York,3066934.71,11237802.51,12829,249
2011,Cumberland,69354737.57,52818766.08,59923,1540
2011,Hancock,37358603.66,99003127.59,90688,3221
2011,Knox,63202056.01,98193185.91,79129,2018
2011,Lincoln,11512988.63,26640306.13,59536,1757
2011,Not-Specified,62261411.38,76355119.81,65535,3322
2011,Penobscot,102.57,101251,98,47
2011,Sagadahoc,1983135.2,7220910.627,28861,792
2011,UK,9159.93,10613.5,75,29
2011,Waldo,453943.36,1745201.188,1527,163
2011,Washington,35496392.78,59720550.32,97983,3558
2011,York,3321936.16,12308778.74,12881,255
2012,Cumberland,63936155.41,54023687.39,56848,1269
2012,Hancock,42037350.57,113483120.3,98523,3319
2012,Knox,67728847.35,104623736.4,83887,2098
2012,Lincoln,9921670.6,29120291.58,53020,1517
2012,Not-Specified,95712640.68,140539998.6,66356,3406
2012,Penobscot,2072.27,4263489.18,1262,286
2012,Sagadahoc,1775070.42,4314415.668,10744,425
2012,UK,235972.15,2421027.47,15877,327
2012,Waldo,540886.52,2562535.124,1590,114
2012,Washington,31055584.52,63486380.56,95551,3605
2012,York,3719706.61,12242030.81,14110,242
2013,Cumberland,71021905.65,55339002.9,59622,1477
2013,Hancock,46998916.83,119821511.8,96242,3155
2013,Kennebec,64.25,113161.03,57,29
2013,Knox,65933887.28,108336178.3,83602,2015
2013,Lincoln,8267418.24,27194767.05,54180,1543
2013,Not-Specified,79543200.37,121778683.4,61168,2854
2013,Penobscot,3004.28,5270282.3,1799,443
2013,Sagadahoc,2581024.14,6545473.111,13005,354
2013,UK,267145.66,2927680.669,17388,341
2013,Waldo,624908.96,2675018.355,1888,146
2013,Washington,32244201.15,76414308.58,103430,4206
2013,York,3855006.4,14414637.62,14851,240
2014,Cumberland,62833800.31,58271373.86,53712,1348
2014,Hancock,55529040.62,147153990.5,92755,3324
2014,Kennebec,139.25,145795.75,49,24
2014,Knox,71048017.71,130438712.3,76928,2293
2014,Lincoln,7064889.91,25763084.24,46479,1369
2014,Not-Specified,65544753.48,106111079.1,60360,3076
2014,Penobscot,1291.19,1336650,1083,563
2014,Sagadahoc,1924096.96,5469203.65,10226,286
2014,UK,201611.77,2806441.928,15449,289
2014,Waldo,1686165.61,3929440.445,2362,226
2014,Washington,32480445.17,93258644.3,106739,4445
2014,York,4018056.67,16828587.41,14737,241
2015,Cumberland,69278555.28,66013579.21,52210,1576
2015,Hancock,42752513.65,156371259.7,96751,3568
2015,Kennebec,47.98,115536.5,64,36
2015,Knox,61751740.03,144695022.3,74947,2183
2015,Lincoln,8325929.67,33747702.06,49737,1461
2015,Not-Specified,52171743.67,101008197.2,54458,2810
2015,Penobscot,391.28,948312,733,385
2015,Sagadahoc,1574785.13,5205850.942,10319,332
2015,UK,206416.44,2824019.39,16345,364
2015,Waldo,667686.47,3237847.538,2226,269
