year,species,port,county,lob_zone,weight,weight_type,value,trip_n,harv_n
2008,Sandworms,Addison,Washington,A,33171.5,Live Pounds,159296.16,1217,56
2008,Bloodworms,Addison,Washington,A,18934.19,Live Pounds,208982.04,2393,145
2008,Clam Soft,Addison,Washington,A,141208.03,Live Pounds,171648.01,1578,85
2008,Lobster American,Addison,Washington,A,874072.35,Live Pounds,2811848.728,2905,80
2008,Lobster American,Bailey Island,Cumberland,F,1300961.05,Live Pounds,4380685.491,6383,100
2008,Elver,Bangor,Penobscot,D,64.67,Live Pounds,14122.93,25,14
2008,Bloodworms,Bar Harbor,Hancock,B,1396.62,Live Pounds,15276.99,110,31
2008,Clam Soft,Bar Harbor,Hancock,B,13355.54,Live Pounds,20399.96,102,6
2008,Lobster American,Bar Harbor,Hancock,B,749213.48,Live Pounds,2761140.098,1942,71
2008,Crab Atlantic Rock,Bar Harbor,Hancock,B,26354.2,Live Pounds,11221.08,310,16
2008,Bloodworms,Bass Harbor,Hancock,B,42.09,Live Pounds,448.58,4,3
2008,Lobster American,Bass Harbor,Hancock,B,860515,Live Pounds,3237508.82,3633,89
2008,Crab Jonah,Bass Harbor,Hancock,B,81629,Live Pounds,29976,605,39
2008,Crab Atlantic Rock,Bass Harbor,Hancock,B,74015,Live Pounds,29083.81,443,54
2008,Bloodworms,Bath,Sagadahoc,E,9408.14,Live Pounds,101804.9,470,60
2008,Sandworms,Beals,Washington,A,75276.42,Live Pounds,361324.32,2738,74
2008,Bloodworms,Beals,Washington,A,1760.18,Live Pounds,18989.88,1166,75
2008,Lobster American,Beals,Washington,A,1463538.05,Live Pounds,4777283.831,6845,173
2008,Crab Unc,Beals,Washington,A,75879.5,Live Pounds,27352.12,992,55
2008,Crab Jonah,Beals,Washington,A,226819.5,Live Pounds,79964.04,1790,73
2008,Crab Atlantic Rock,Beals,Washington,A,40300,Live Pounds,16627.4,295,44
2008,Bloodworms,Belfast,Waldo,D,4920.01,Live Pounds,52020.87,202,49
2008,Elver,Belfast,Waldo,D,442.86,Live Pounds,101150.43,187,30
2008,Clam Soft,Biddeford Pool,York,G,31232.42,Live Pounds,33932.65,235,6
2008,Lobster American,Birch Harbor,Hancock,A,469693.5,Live Pounds,1686542.55,1712,20
2008,Bloodworms,Blue Hill,Hancock,C,1206.07,Live Pounds,13214.97,111,26
2008,Scallop Sea,Blue Hill,Hancock,C,4208,Meat Pounds,51738.1,95,10
2008,Clam Soft,Blue Hill,Hancock,C,10671.11,Live Pounds,14422.89,85,13
2008,Lobster American,Blue Hill,Hancock,C,501952.97,Live Pounds,1871689.247,1483,58
2008,Crab Atlantic Rock,Blue Hill,Hancock,C,56622.1,Live Pounds,22324.875,333,14
2008,Elver,Blue Hill,Hancock,C,6.24,Live Pounds,1281.79,4,4
2008,Clam Soft,Boothbay,Lincoln,E,123488.14,Live Pounds,171558.85,1429,54
2008,Clam Soft,Boothbay Harbor,Lincoln,E,69630.76,Live Pounds,97927.61,679,14
2008,Lobster American,Boothbay Harbor,Lincoln,E,1167021.1,Live Pounds,4076446.84,5475,144
