"","Season","Region","Year","benthivore","benthos","piscivore","planktivore","undefined","YEAR_GROUPS","YEAR_DECADES","REGION_NEW","REGION_YEAR","SEASON_YEAR"
"1","Fall",1,2000,222.504186120833,51.8456790123333,537.326626187733,169.722798003917,253.318518533333,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"2","Fall",1,2001,337.953262790611,41.1111111111111,975.702821917389,348.657848318556,124.901234568278,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"3","Fall",1,2002,136.891737884528,3.019230769,664.208791249472,281.969067972083,46.2515262534167,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"4","Fall",1,2003,430.09375,4.5,1057.95833333333,528.34375,865.65625,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"5","Fall",1,2004,534.542397666,2,1272.91081871742,1443.05555552775,614.95065789325,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"6","Fall",1,2005,372.232456133208,3.7076023395,800.366228070333,605.36184210025,2289.39473684633,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"7","Fall",1,2006,280.488265004479,1.8333333335,496.906120024771,292.996991977792,1773.21862002198,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"8","Fall",1,2007,375.132383379979,9.06118024125,695.013880878917,178.9080949185,1658.14681089065,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"9","Fall",1,2008,555.379807696,7.423076923,1283.41951566017,454.01282051625,1538.7391381725,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"10","Fall",1,2009,332.24444444475,7.16666666666667,1180.49305555583,520.788888888917,2362.42916666713,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"11","Fall",1,2010,333.112500001688,1.8958333333125,981.220833332937,1279.84583333331,11.8874999999375,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
"12","Fall",1,2011,356.56907894885,9.52083333329167,752.568421055767,412.423026313867,1302.54243421018,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
"13","Fall",1,2012,271.390843711783,2.8718954248,814.915159857392,444.426196380658,688.386145675908,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
"14","Fall",1,2013,269.55277777855,17.3185185183333,747.2958333332,219.252777777917,406.375925925917,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
"15","Fall",1,2014,224.699370417646,7.78141711229167,859.026387411771,265.485885087896,188.938163420875,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
"16","Fall",1,2015,343.842369544729,7.619883040875,367.970389117146,666.334117745562,200.769337603,"2015-2019","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2015-2019","Fall, 2015-2019"
"17","Fall",1,2016,382.557655372167,17.9063180826667,1382.53309539571,274.875121843917,347.855886656896,"2015-2019","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2015-2019","Fall, 2015-2019"
"18","Fall",1,2017,323.000070029467,9.09885620916667,838.402249188681,303.678758682635,414.457057061246,"2015-2019","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2015-2019","Fall, 2015-2019"
"19","Fall",1,2018,334.865239079383,1.9818181818,1262.44263101234,436.667394537542,243.915832474146,"2015-2019","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2015-2019","Fall, 2015-2019"
"20","Fall",1,2019,271.444346978317,9.13157894741667,737.602923991408,236.570906430758,353.986695904217,"2015-2019","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2015-2019","Fall, 2015-2019"
"21","Fall",2,2000,302.839175488417,50.4476190453333,2157.77127416531,716.607804234833,772.90376981725,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"22","Fall",2,2001,440.250895505267,24.8886427327333,742.515864531378,792.481813912356,697.1013199291,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"23","Fall",2,2002,304.462649542906,11.963157895,1747.77584950288,2544.8622788675,1195.25140270231,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"24","Fall",2,2003,226.854166666208,12.1875,2202.21875004167,556.177083333792,758.489583333667,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"25","Fall",2,2004,328.067460332667,8.6944444445,768.911706348292,654.534722216875,803.405753975375,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"26","Fall",2,2005,434.541666666625,1.4642857145,234.142857143187,1165.36904761942,5202.59077381154,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"27","Fall",2,2006,255.499591498125,2.4166666665,209.79534313525,425.333333314354,3713.18545756698,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"28","Fall",2,2007,302.532219977763,8.91666666666667,1160.53879893711,2806.66410242991,2649.791885971,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"29","Fall",2,2008,426.416841738125,3.11111111105556,1422.78203781429,931.635679266083,4438.00852007417,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"30","Fall",2,2009,300.273980916375,3.94659442716667,846.15456655535,4242.00779189517,4396.96764701705,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"31","Fall",2,2010,358.4697368435,6,912.805756581812,2187.68601976812,1394.72286186925,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
"32","Fall",2,2011,289.857026149667,4.07461873641667,553.635212415417,2462.61805553852,2590.37064279208,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
"33","Fall",2,2012,247.520772286696,3.0642857142,1448.58632477807,1651.7479548021,3557.1932465835,"2010-2014","2010-2019","West of Penobscot Bay","West of Penobscot Bay, 2010-2014","Fall, 2010-2014"
