"","Phylum","Class","Order","Family","Genus","Species"
"1","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus"
"2","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias"
"3","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus"
"4","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus"
"5","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys oblongus"
"6","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus"
"7","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda ferruginea"
"8","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus"
"9","Chordata","Teleostei","Gadiformes","Gadidae","Urophycis","Urophycis chuss"
"10","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis"
"11","Chordata","Teleostei","Gadiformes","Gadidae","Urophycis","Urophycis tenuis"
"12","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus"
"13","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius americanus"
"14","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides"
"15","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"16","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces americanus"
"17","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus"
"18","Chordata","Teleostei","Perciformes","Serranidae","Centropristis","Centropristis striata"
"19","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea"
"20","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata"
"21","Mollusca","Cephalopoda","Teuthida","Loliginidae","Loligo","Loligo pealeii"
"22","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua"
"23","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus"
"24","Chordata","Teleostei","Gadiformes","Gadidae","Enchelyopus","Enchelyopus cimbrius"
"25","Mollusca","Bivalvia","Ostreoida","Pectinidae","Placopecten","Placopecten magellanicus"
"26","Chordata","Teleostei","Scorpaeniformes","Triglidae","Prionotus","Prionotus carolinus"
"27","Chordata","Teleostei","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides monopterygius"
"28","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis"
"29","Chordata","Teleostei","Perciformes","Carangidae","Trachurus","Trachurus lathami"
"30","Chordata","Teleostei","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus"
"31","Mollusca","Cephalopoda","Teuthida","Ommastrephidae","Illex","Illex illecebrosus"
"32","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus"
"33","Chordata","Teleostei","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus"
"34","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus"
"35","Chordata","Teleostei","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops"
"36","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata"
"37","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes fasciatus"
"38","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber scombrus"
"39","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Pandalus borealis"
"40","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
"41","Chordata","Teleostei","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus"
"42","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax"
