COMMON_NAME,SCIENTIFIC_NAME
alewife,Alosa pseudoharengus
dogfish spiny,Squalus acanthias
flounder atlantic windowpane (sand dab ),Scophthalmus aquosus
flounder atlantic witch (gray sole),Glyptocephalus cynoglossus
flounder fourspot,Paralichthys oblongus
flounder winter,Pseudopleuronectes americanus
flounder yellowtail,Limanda ferruginea
haddock,Melanogrammus aeglefinus
hake atlantic red,Urophycis chuss
hake silver (whiting),Merluccius bilinearis
hake white,Urophycis tenuis
lobster american,Homarus americanus
monkfish,Lophius americanus
plaice american (dab),Hippoglossoides platessoides
pollock,Pollachius virens
pout ocean,Zoarces americanus
sculpin longhorn,Myoxocephalus octodecemspinosus
sea bass black,Centropristis striata
skate little,Leucoraja erinacea
skate winter,Leucoraja ocellata
squid long finned,Loligo pealeii
cod atlantic,Gadus morhua
crab atlantic rock,Cancer irroratus
dogfish spiny,Squalus acanthias
flounder atlantic windowpane (sand dab ),Scophthalmus aquosus
flounder atlantic witch (gray sole),Glyptocephalus cynoglossus
flounder fourspot,Paralichthys oblongus
flounder winter,Pseudopleuronectes americanus
flounder yellowtail,Limanda ferruginea
fourbeard rockling,Enchelyopus cimbrius
hake atlantic red,Urophycis chuss
hake silver (whiting),Merluccius bilinearis
hake white,Urophycis tenuis
lobster american,Homarus americanus
monkfish,Lophius americanus
plaice american (dab),Hippoglossoides platessoides
scallop sea,Placopecten magellanicus
sculpin longhorn,Myoxocephalus octodecemspinosus
sea bass black,Centropristis striata
searobin northern,Prionotus carolinus
alligatorfish,Aspidophoroides monopterygius
cod atlantic,Gadus morhua
crab atlantic rock,Cancer irroratus
crab jonah,Cancer borealis
flounder atlantic windowpane (sand dab ),Scophthalmus aquosus
flounder atlantic witch (gray sole),Glyptocephalus cynoglossus
flounder winter,Pseudopleuronectes americanus
flounder yellowtail,Limanda ferruginea
hake atlantic red,Urophycis chuss
hake silver (whiting),Merluccius bilinearis
hake white,Urophycis tenuis
lobster american,Homarus americanus
monkfish,Lophius americanus
plaice american (dab),Hippoglossoides platessoides
pollock,Pollachius virens
scads rough,Trachurus lathami
scallop sea,Placopecten magellanicus
sculpin longhorn,Myoxocephalus octodecemspinosus
sea raven,Hemitripterus americanus
skate little,Leucoraja erinacea
skate winter,Leucoraja ocellata
squid short-finned,Illex illecebrosus
butterfish,Peprilus triacanthus
cunner,Tautogolabrus adspersus
flounder atlantic windowpane (sand dab ),Scophthalmus aquosus
flounder winter,Pseudopleuronectes americanus
flounder yellowtail,Limanda ferruginea
