,COMMON_NAME,functional_group
1,alewife,planktivore
27,alligatorfish,
112,anchovy striped,
101,arctic eualid,
113,axius serratus,
110,bass striped,piscivore
127,beardfish,
75,blenny snake,
83,bluefish,piscivore
140,boarfish shortspine,
71,buckler dory,
32,butterfish,planktivore
107,capelin,
64,clam false quahog,
92,clam northern quahog / hard,
50,clam ocean quahog,benthos
148,clam razor atlantic,
22,cod atlantic,piscivore
23,crab atlantic rock,
66,crab green,
28,crab jonah,benthivore
87,crab northern stone,
91,crab red,benthivore
53,crab snow,
59,crab toad,
51,cucumber rat-tail,
54,cucumber sea,benthos
33,cunner,benthivore
142,cusk,planktivore
76,daubed shanny,
2,dogfish spiny,piscivore
79,eel american,
136,fawn cusk-eel,
141,flounder atlantic summer (fluke),piscivore
3,flounder atlantic windowpane (sand dab ),piscivore
4,flounder atlantic witch (gray sole),benthivore
5,flounder fourspot,piscivore
62,flounder gulf stream,
6,flounder winter,benthivore
7,flounder yellowtail,benthivore
24,fourbeard rockling,
119,grubby,
94,gulf seasnail,
114,gunnel rock,
8,haddock,benthivore
99,hagfish atlantic,
9,hake atlantic red,piscivore
133,hake longfin,
10,hake silver (whiting),piscivore
55,hake spotted,
11,hake white,piscivore
65,halibut atlantic,piscivore
78,halibut greenland,
34,herring atlantic,planktivore
81,herring blueback,planktivore
103,inquiline snailfish,
131,jack yellow,
132,kelp snailfish,
12,lobster american,benthivore
137,lophius gastrophysus,
48,lumpfish,planktivore
146,lumpsucker atlantic spiny,
38,mackerel atlantic,planktivore
41,menhaden atlantic,planktivore
13,monkfish,piscivore
80,moonfish atlantic,
85,mussel blue sea,benthos
70,mussel horse,
67,northern cyclocardia,
139,northern kingfish,
86,northern sea star,
138,oyster european flat,
102,pandalus propinquus,
73,pearlsides,
82,pipefish northern,
14,plaice american (dab),benthivore
122,planehead filefish,
100,polar lebbeid,
15,pollock,piscivore
126,pout atlantic soft,
16,pout ocean,benthivore
124,puffer northern,
37,redfish acadian ocean perch,piscivore
134,rosefish black bellied,planktivore
46,sand lance american,planktivore
117,saury atlantic,
97,scad bigeye,
116,scad mackerel,
72,scad round,
29,scads rough,
68,scallop icelandic sea,
25,scallop sea,benthos
17,sculpin longhorn,planktivore
61,sculpin moustache,
56,sculpin shorthorn,
35,scup,benthivore
18,sea bass black,benthivore
143,sea lamprey,
30,sea raven,piscivore
88,sea robin armored,
69,sea urchins green,benthos
26,searobin northern,planktivore
98,seasnail atlantic,
120,seasnail gelationous,
104,seasnail striped,
40,shad american,planktivore
89,shanny radiated,
84,short bigeye,
57,shrimp crangon,
43,shrimp dichelo,
123,shrimp friendly spine,
49,shrimp montagui,
39,shrimp northern,
109,shrimp norwegian,
129,shrimp parrot,
93,shrimp pink glass,
145,shrimp sculptured,
52,silver anchovy,
135,silver rag,
45,silverside atlantic,
95,skate barndoor,benthivore
115,skate clearnose,piscivore
19,skate little,piscivore
147,skate rosette,benthivore
63,skate smooth,piscivore
36,skate thorny,piscivore
20,skate winter,piscivore
42,smelt rainbow,
96,snail moon,
90,snipe eel slender,
60,spiny lebbeid,
128,spotted tinselfish,
21,squid long finned,piscivore
31,squid short-finned,piscivore
144,stickleback fourspine,
77,stickleback threespine,
47,sturgeon atlantic,
108,tomcod atlantic,
74,torpedo atlantic,
58,waved astarte,
125,whelk channeled,benthos
130,whelk stimpsons,
105,whelk ten-ridged,
111,whelk waved,
118,wolf eelpout,
106,wolffish atlantic,benthivore
44,wrymouth,
121,zebra Lebbeid,
