"","year","delta","delta_star","delta_plus","delta_var"
"1",2006,6.32163742690059,4.74122807017544,4.63157894736842,1.78824253616497
"2",2007,28.4909090909091,5.29391891891892,5.4,1.44
"3",2008,10.8744588744589,4.86821705426357,4.96103896103896,1.65649069545173
"4",2009,18.85,5.39856801909308,5.35833333333333,1.21326388888889
"5",2010,22.021978021978,5.35828877005348,5.45054945054945,1.23656563217003
"6",2011,7.93506493506494,4.92741935483871,4.73160173160173,1.58164202320046
"7",2012,9.004329004329,5.22613065326633,5.25108225108225,1.33955510578887
"8",2013,11.9157894736842,5.40334128878282,5.33684210526316,1.10759002770083
"9",2014,10.2867647058824,4.82413793103448,4.89705882352941,1.73940311418685
"10",2015,7.02536231884058,5.19839142091153,5.10507246376812,1.4853365889519
"11",2016,14.1544117647059,5.36211699164345,5.25,1.30514705882353
"12",2017,12.3790849673203,5.17486338797814,5.13725490196078,1.42560553633218
"13",2018,5.13405797101449,5.13405797101449,5.13405797101449,1.25376759084226
"14",2019,10.9019607843137,5.38064516129032,5.28758169934641,1.23755820410953
"15",2020,13.1544117647059,5.27728613569322,5.09558823529412,1.40998053633218
